Country/Region,Project Title,Project Description,Sector,Status,Implementing Entity,Executing Entity,Duration,Approval Date,Start Date,Completion Date,Transferred Amount,Grant Amount
Tajikistan/Asia-Pacific,An integrated landscape approach to enhancing the climate resilience of small-scale farmers and pastoralists in Tajikistan,"The Republic of Tajikistan is the most climate-vulnerable country in Central Asia. Extreme rainfall events have become more frequent and intense, the rainfall season has shortened in many parts of the country, air temperatures have risen markedly, and glacial melting is accelerating. As a result, hydrometeorological disasters such as droughts, floods, mudflows and landslides are more frequent and rates of soil erosion across the country are increasing. The socio-economic impacts of these changes are considerable: livelihoods, agricultural productivity, water availability and hydroelectricity production are all compromised. The project aims to introduce an integrated approach to landscape management to develop the climate resilience of rural communities in Tajikistan. The project’s activities will focus in particular within one of the most climate-vulnerable river basins, namely the Kofirnighan River Basin (KRB). The project has three components:   ",Rural development,Project Under Implementation,UN Development Programme,Committee for Environmental Protection (CEP),4 years,7/8/2019,8/28/2021,,"USD 8,136,171","USD 9,996,441"
"Tanzania, United Republic of/Africa",Strategic Water Harvesting Technologies for Enhancing Resilience to Climate Change in Rural Communities in Semi-Arid Areas of Tanzania (SWAHAT),"The objective of proposed SWAHAT project is enhancing resilience and adaptation of semi arid rural communities to climate change-induced impacts of drought, floods and water scarcity. This will be achieved through strategic water harvesting technologies that will contribute to improved crops, aquaculture and livestock productivity, reforestation as well as combating emerging crops and livestock pests and diseases. The conceptual design of the water harvesting dam has been designed to ensure afforestation of the catchment before the dam thus prevention excessive siltation. The constructed or rehabilitated dams will supply water for all the proposed resilience and adaptation enhancing integrated innovations to be implemented on the semi-arid landscapes. In addition, synergism between aquaculture and agricultural activities will be done to enhance nutrient recycling and improve resource use efficiency. Nursery for fruits and forest trees as well as vegetable gardens will be established and supply seedlings for afforestation and horticulture. Pastureland and animal husbandry infrastructure will be established downstream of the dam for improved productivity and supply of manure for soil fertility improvement. The afforested landscape will integrate apiary units, provide fuel wood and restore habitats for biodiversity conservation. All these integrated approaches will contribute to livelihoods diversification to improve adaptation and resilience capacity to climate change of the semi-arid communities and the surrounding ecosystem.   ",Agriculture,Project Under Implementation,National Environment Management Council,Sokoine University of Agriculture,4 years,9/23/2020,10/13/2021,,"USD 815,728","USD 1,280,000"
"Tanzania, United Republic of/Africa",Bunda Climate Resilience and Adaptation Project," The Bunda district represents the section of poor rural communities of the Mara region in Tanzania. There are highly dependent on rain fed subsistence agriculture, and are vulnerable to land degradation and forest resources due to poor farming practices, unsustainable charcoal production and fuel wood harvesting, declining fish stock, illegal and primitive fishing practices and livestock grazing aggravate the impacts of climate change on the communities’ livelihood systems, amplifying communities’ vulnerability and limiting their adaptive capacity. This project proposes to develop and implement concrete adaptation actions at grass root levels to increase community livelihood resilience to climate change effects and cover the following sectors: water resources and supply, agriculture, fisheries and aquaculture, livestock, forestry and ecosystems and gender in relation to climate change. The project applies transformative integrated environmental management and aquaculture innovations, resilient rural water supply systems and Ever-Green-Agricultural (EVA) practices to reduce vulnerabilities and the impact of climate change on local communities in the district. This approach offers practical and effective combination of Community-Based-Adaption and Ecosystem-Based-Adaptation techniques to support transformation of livelihood system, combat poverty, enhance greater climate resilience of rural communities and gender equality while reducing emissions through long-term storage of carbon in landscapes. The anticipated impact of the project is to benefit 36,218 men and women.   ",Agriculture,Project Under Implementation,National Environment Management Council,Bunda District Council,3 years,4/8/2021,3/4/2022,,"USD 786,269","USD 1,400,000"
"Tanzania, United Republic of/Africa",Enhancing Climate Change Resilience of Coastal Communities of Zanzibar,"In Zanzibar, one of the two countries that form the United Republic of Tanzania (URT), climate variability has caused prolonged dry periods and unpredictable rainfall pattern making crop cultivation unproductive. Freshwater resources are also in limited supply mainly dependent on seasonal rains that store water in inefficient groundwater aquifers consisting of freshwater lenses floating on the underlying seawater. Furthermore, increasing temperatures have occasionally caused seal level rise leading to saltwater intrusion in low-lying farm fields, notably rice farms. The project will progress activities geared towards enabling climate resilient livelihoods in climate impacted areas of Zanzibar. Thus, the project’s main objective is to build the capacity of smallholder farmers in tackling climate change impacts through practical and innovative solutions; that have concrete and tangible outputs. Specifically, the project envisages achieving the following:   ",Coastal management,Project Under Implementation,National Environment Management Council,"Department of Environment, Second Vice President’s Office, Zanzibar",3 years,6/1/2020,1/12/2022,,"USD 243,023","USD 1,000,000"
"Tanzania, United Republic of/Africa",Enhancing Climate Change Adaptation for Agro-Pastoral Communities in Kongwa District,"With the emerging challenges of climate change and climate variability, many socio-economic sectors in Tanzania are vulnerable to climate related risks. These include water, where there is a general drying trend of natural water springs and rivers, energy where the hydropower performances are frequently interrupted by drought events, agriculture where crops and livestock suffer the impacts of drought and flooding and increasing occurrences of epidemics from pests and diseases in the health sector. In general, more than 70% of natural disasters in Tanzania are climate related. They are linked to droughts and floods and these have become more frequent as a result of climate change and climate variability. Several studies conducted in various regions and districts in the United Republic of Tanzania, indicate that rural areas especially agro-pastoral communities have been experiencing the effect of climate change through crop failures, decreased crop yields, increased water scarcity and sometimes shrinkage and drying of grazing lands/pastures due to increased and intensified drought periods. The predominance of more bad years as commonly referred by communities in rural areas of Tanzania have negatively impacted farmers‘ livelihoods, their economies and social life. In Kongwa district for example, worryingly, farmers are reporting that both the timing of rainy seasons and the pattern of rains within seasons are changing. These observations of change in climate are striking in that they are widespread throughout the district and are pronounced in remarkably consistent terms in almost all villages of the district. ",Rural development,Project Under Implementation,National Environment Management Council,"The Foundation for Energy,Climate and Environment, Kongwa District Council",4 years,6/1/2020,10/12/2021,,"USD 848,030","USD 1,200,000"
"Tanzania, United Republic of/Africa",Implementation Of Concrete Adaptation Measures To Reduce Vulnerability Of Livelihood and Economy Of Coastal Communities In Tanzania,"Tanzania’s largest city, Dar es Salaam, is a coastal metropolis prone to flooding. Already, sections of the 2.6-km sea wall that protects this major commercial, administrative and industrial center are severely degraded or completely destroyed. Inadequate drainage systems exacerbate urban flooding during the rainy season, often resulting in traffic jams, and health hazards from water-borne pollution. Climate change is expected to worsen the threat to key infrastructure in Dar es Salaam.   ",Coastal management,Project Completed,UN Environment Programme,Vice President&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;apos;s Office (Division of Environment),5 years,12/14/2011,10/29/2012,,"USD 5,008,564","USD 5,008,564"
Tunisia/Africa,"Economic, Social and Solidarity Insertion for Resilience in the Governorate of Kairouan (IESS Adapt)","According to the Tunisia’s Intended Nationally Determined Contribution (INDC-2015), Tunisia is considered to be one of the countries most exposed to climate change in the Mediterranean. The main risks which it is likely to confront are temperature increases, reduced precipitation, rising sea levels and escalating extreme weather phenomena (torrential rains, floods and droughts). These risks are likely to result in major environmental and socio-economic vulnerability that will particularly affect water resources, agriculture and natural ecosystems. ",Rural development,Project Under Implementation,International Fund Agricultural Dev,Ministry for Agriculture Water Resources and Fisheries (MAWRF),5 years,6/1/2020,9/2/2021,,"USD 2,278,477","USD 9,997,190"
Turkmenistan/Asia-Pacific,Addressing climate change risks to farming systems in Turkmenistan at national and community level,"Background: Turkmenistan is an arid country where climate change is projected to have significant impacts on water resources. Water availability and supply are likely to suffer from increasing shortages due to elevated temperatures, overall climate aridification and competition for water arising from regional trans-boundary water issues.          ",Water management,Project Completed,UN Development Programme,Ministry of Nature Protection,5 years,6/22/2011,5/22/2012,9/29/2017,"USD 2,929,500","USD 2,929,500"
Uganda/Africa,Enhancing resilience of communities to climate change through catchment-based integrated management of water and related resources in Uganda,"The major symptoms of climate change in Uganda include increase in temperatures and increased variability and unpredictability of rainfall patterns that lead to increased frequency and intensity of disasters such as floods and landslides. These have severe impacts on ecosystems, agricultural landscapes and livelihoods especially among the rural populations. In Uganda, climate change, waterrelated disasters, such as floods, landslides, windstorms and hailstorms, contribute over 70% of the natural disasters and destroy an average of 800,000 ha of crops, with economic losses of over USh 120 billion annually. Uganda’s economy and local communities are vulnerable to climate change and variability due to e.g. heavy reliance on natural resources, particularly within the agricultural sector, dependence on rain-fed agriculture, and close linkages between agricultural performance and climatic changes. As the total demand for water is expected to increase, establishing an integrated water management framework is an important response to the increased demand for water and uncertainties of climate change. The overall goal of the project is to increase the resilience of communities to the risk of floods and landslides in Awoja, Maziba and Aswa catchments through promoting catchment based integrated, equitable and sustainable management of water and related resources. The specific objectives of the project are to:  ",Water management,Project Under Implementation,Sahara and Sahel Observatory,"Ministry of Water and Environment, Uganda",4 years,7/5/2016,5/7/2017,,"USD 7,751,000","USD 7,751,000"
Uzbekistan/Asia-Pacific,Developing climate resilience of farming communities in the drought prone parts of Uzbekistan,"This project aims to develop climate resilience in farming and pastoral communities in the drought-prone Karakalpakstan region of Uzbekistan. The project will develop institutional and technical capacity for drought management and early warning, establish climate resilient farming practices on subsistence dekhkan farms, effect landscape level adaptation measures for soil conservation and moisture retention, and widely foster knowledge of climate resilient agricultural and pastoral production systems in arid lands. The project will improve climate resilience of more than an estimated 1,000,000 ha of land. The frequent occurrence of drought, an overall trend of desertification of Uzbekistan’s poorest region, Karakalpakstan, places serious strain on water availability, and is causing a decline in land productivity and thus the ability of rural poor to withstand the current and future impacts of climate change. There have been considerable infrastructure investments in the agricultural sector and progressive reforms socially, but vulnerable farmers and pastoralists who reside in arid and marginal lands don’t benefit directly from these improvements. This project is designed to propel positive reform processes in climate adaptation, while also reaching out to the poorest and most marginal to provide urgent adaptation solutions.    ",Agriculture,Project Completed,UN Development Programme,Uzhydromet,6 years,2/10/2014,5/26/2014,11/30/2021,"USD 5,415,103","USD 5,415,103"
Viet Nam/Asia-Pacific,Enhancing the resilience inclusive and sustainable eco-human settlement development through small scale infrastructure interventions in the coastal regions of the Mekong Delta in Viet Nam,"This project focuses on dealing with saltwater intrusion and coastal erosions in Mekong Delta, which are the major impacts from the climate change. Along with the water resource management and coastal erosion issues, the lack of vertical and horizontal coordination has been bottlenecked for the community to reflect their needs to the provincial and national level policies. In the Mekong Delta, river water and ground water levels are decreasing, while sea levels, flood tides and salt intrusion are on the rise, the demand for water has also increased in production and daily activities due to industrialisation and population growth. The extraction of groundwater has increased rapidly over the past decades and forms one of the main causes of saltwater intrusion into the groundwater. This intrusion has been accelerated by the on-going sea level rise. Saltwater intrusion of groundwater in the Mekong Delta is a highly complex issue as it heavily depends on varying factors, including changes in water supplies, rising water demands, and the impact of climate change especially sea level rise, drought, and rising temperature. Because of saltwater intrusion of the groundwater, a growing number of provinces in the Mekong Delta are also experiencing depleted and degraded freshwater supplies for drinking and domestic use especially in dry season. The solution for the saltwater intrusion is, however, very limited and most of them are not cost-effective nor applicable for certain condition of area.",Urban development,Project Under Implementation,UN-Habitat,UH-Habitat,3 years,6/1/2020,12/16/2020,,"USD 2,294,429","USD 6,345,292"
